SMILE,IP,EA,HomoLumoGap
C(OC(=O)O)OO,0.388429141,-0.093623401,-0.482052542
C(#CC(=O)C#N)C#N,0.415370825,0.076924988,-0.338445837
C(=O)(N)N(N)[N+](=O)[O-],0.366029985,-0.026007078,-0.392037063
COC(N=O)(O)O,0.326889117,-0.020915118,-0.347804235
C(=C(C#N)N=O)=N,0.323926992,0.002760857,-0.321166135
C(=N)(N)[N+](=NO)[O-],0.324940254,-0.015690231,-0.340630485
C(C(=O)O)[N+](=NO)[O-],0.360273932,-0.013495334,-0.373769266
C(=NN=N)(N)N,0.317215789,-0.059592821,-0.37680861
N(=NO)O,0.392713632,-0.069141272,-0.461854904
C(=NO)C=NO,0.325727938,-0.037511497,-0.363239435
C(=O)C(=N)C(=N)C=O,0.363601104,0.044537164,-0.31906394
C(=NO)C(=NO)C#N,0.359352513,0.023330405,-0.336022108
C(#N)C(=C(O)O)[N+](=O)[O-],0.362843727,0.017957855,-0.344885872
C[C+](C=O)C(=O)[O-],0.297521428,-0.093772401,-0.391293829
C(=[N+](N)[O-])(N)N,0.255392537,-0.115488289,-0.370880826
C(C#N)C(=O)N=C=N,0.369484696,-0.01310443,-0.382589126
C=CC(=O)C=C=N,0.333692823,-0.016719228,-0.350412051
C(=N)N[N+](=O)[O-],0.388595049,-0.015524144,-0.404119193
C(=C(C#N)[N+](=O)[O-])=N,0.378613974,0.019993712,-0.358620262
C(=O)NC(=NC#N)N,0.338441051,-0.023186634,-0.361627685
CC(=O)C=[N+]=[N-],0.339406161,-0.017914604,-0.357320765
C(=N)[C+](C(=O)[O-])N=O,0.374620633,-0.015629719,-0.390250352
N=NN[N+](=O)[O-],0.38290446,0.003654169,-0.379250291
C[C+](C=N)C(=O)[O-],0.366199324,-0.043868635,-0.410067959
C=C[C+](C=O)C(=O)[O-],0.352836321,-0.006136923,-0.358973244
C(=N)[C+](C(=O)O)C(=O)[O-],0.335617316,0.049826151,-0.285791165
C(=O)C(=O)[C+](C=O)C(=O)[O-],0.356827122,-0.001184455,-0.358011577
COC(=O)C=[N+]=[N-],0.337190903,-0.022940756,-0.360131659
CC(=N)N[N+](=O)[O-],0.377164254,-0.021165659,-0.398329913
CN[N+](=NO)[O-],0.324428969,-0.072873337,-0.397302306
CN=CC=NO,0.352194776,-0.029777922,-0.381972698
[C-]#[N+]C(=C=N)C=O,0.350215458,-0.005268643,-0.355484101
C[N+](=NO)[O-],0.335402688,-0.062630111,-0.398032799
CC(=O)C(=C=N)[N+]#[C-],0.340271302,-0.014009638,-0.35428094
C(=O)(N)NN=NN,0.31350517,-0.057130558,-0.370635728
C(=NN[N+](=O)[O-])N=N,0.355814329,0.026269116,-0.329545213
C(=NN=N)NN,0.318006565,-0.041593396,-0.359599961
NN=NO,0.350464707,-0.083006734,-0.433471441
C(=O)NN=N,0.371931338,-0.031407538,-0.403338876
CC=CC=[O+][O-],0.293517593,0.005636828,-0.287880765
COC(=O)C(=[N+]=[N-])C#N,0.351706265,0.014972906,-0.336733359
C#COC(=O)C=[N+]=[N-],0.335168065,-0.001609637,-0.336777702
CC[N+](=NO)[O-],0.329513706,-0.062656211,-0.392169917
C(=NO)NC(=O)O,0.323445369,-0.079958028,-0.403403397
C(=O)NN=NNC=O,0.336777917,-0.010628002,-0.347405919
C(=NN=N)N,0.327739515,-0.048378154,-0.376117669
C(=NO)NC(=O)N,0.317722184,-0.082062704,-0.399784888
